Frame, Time (ms)
    1,     0.000
    2,    14.511
    3,    31.407
    4,    48.653
    5,    65.310
    6,    81.932
    7,    98.488
    8,   114.948
    9,   131.720
   10,   148.415
   11,   165.205
   12,   181.822
   13,   198.847
   14,   215.163
   15,   231.978
   16,   248.392
   17,   265.255
   18,   281.872
   19,   298.617
   20,   315.298
   21,   332.641
   22,   348.632
   23,   364.387
   24,   381.244
   25,   397.763
   26,   415.195
   27,   431.680
   28,   448.663
   29,   465.063
   30,   481.715
   31,   498.647
   32,   515.108
   33,   532.146
   34,   548.574
   35,   565.506
   36,   582.168
   37,   598.540
   38,   615.306
   39,   631.982
   40,   648.713
   41,   665.936
   42,   681.951
   43,   698.609
   44,   715.715
   45,   732.080
   46,   748.784
   47,   765.287
   48,   782.109
   49,   798.848
   50,   815.552
   51,   831.918
   52,   849.557
   53,   864.884
   54,   881.692
   55,   898.364
   56,   915.072
   57,   931.226
   58,   948.233
   59,   964.738
   60,   981.473
   61,   997.930
   62,  1015.068
   63,  1032.170
   64,  1047.982
   65,  1065.186
   66,  1081.607
   67,  1098.434
   68,  1115.345
   69,  1131.886
   70,  1148.641
   71,  1165.093
   72,  1181.870
   73,  1198.373
   74,  1215.116
   75,  1231.785
   76,  1248.721
   77,  1265.134
   78,  1282.234
   79,  1298.441
   80,  1315.246
   81,  1331.745
   82,  1348.726
   83,  1365.170
   84,  1381.543
   85,  1398.430
   86,  1415.715
   87,  1431.544
   88,  1448.413
   89,  1465.215
   90,  1481.653
   91,  1498.419
   92,  1515.141
   93,  1531.651
   94,  1548.254
   95,  1565.148
   96,  1581.958
   97,  1598.449
   98,  1615.400
   99,  1631.743
  100,  1648.553
  101,  1665.800
  102,  1681.776
  103,  1698.521
  104,  1714.965
  105,  1731.785
  106,  1748.399
  107,  1765.054
  108,  1781.504
  109,  1798.474
  110,  1815.055
  111,  1831.588
  112,  1848.507
  113,  1865.244
  114,  1882.128
  115,  1899.141
  116,  1916.433
  117,  1932.089
  118,  1948.506
  119,  1965.201
  120,  1981.757
  121,  1998.534
  122,  2015.282
  123,  2031.966
  124,  2048.356
  125,  2065.138
  126,  2082.198
  127,  2098.628
  128,  2115.184
  129,  2131.885
  130,  2148.450
  131,  2165.277
  132,  2181.807
  133,  2198.401
  134,  2215.151
  135,  2231.886
  136,  2248.487
  137,  2265.163
  138,  2282.047
  139,  2298.543
  140,  2315.228
  141,  2331.812
  142,  2348.798
  143,  2365.196
  144,  2381.763
  145,  2398.451
  146,  2415.417
  147,  2432.567
  148,  2448.527
  149,  2465.371
  150,  2481.896
  151,  2498.523
  152,  2515.224
  153,  2531.906
  154,  2548.451
  155,  2565.212
  156,  2581.890
  157,  2598.560
  158,  2615.232
  159,  2631.851
  160,  2648.468
  161,  2665.045
  162,  2681.864
  163,  2698.481
  164,  2715.105
  165,  2731.678
  166,  2748.667
  167,  2765.194
  168,  2781.860
